I0926 19:03:44.384404       1 cli.go:275] **************** gVisor ****************
I0926 19:03:44.384434       1 cli.go:276] Version release-20260921.0, go1.26.3, amd64, 4 CPUs, linux, PID 1, PPID 0, UID 0, GID 0
D0926 19:03:44.384439       1 cli.go:277] Page size: 0x1000 (4096 bytes)
I0926 19:03:44.384443       1 cli.go:278] Args: [runsc-sandbox --root=/var/run/docker/runtime-runc/moby --debug=true --log=/run/containerd/io.containerd.runtime.v2.task/moby/248ee14a0925bf014f11cd7cd6e1418e4add2315e9e72fbfee6a03c976e12122/log.json --log-format=json --debug-log=/var/log/runsc-70/ --platform=systrap --systemd-cgroup=true --log-fd=3 --debug-log-fd=4 boot --bundle=/run/containerd/io.containerd.runtime.v2.task/moby/248ee14a0925bf014f11cd7cd6e1418e4add2315e9e72fbfee6a03c976e12122 --gofer-mount-confs=lisafs:self,lisafs:none,lisafs:none,lisafs:none --apply-caps=true --setup-root --total-host-memory 8326336512 --cpu-num 4 --cpu-quota 400000 --cpu-period 100000 --total-memory 2147483648 --io-fds=5 --io-fds=6 --io-fds=7 --io-fds=8 --dev-io-fd=-1 --gofer-filestore-fds=9 --mounts-fd=10 --start-sync-fd=11 --pin-ring-fd=12 --controller-fd=13 --spec-fd=14 --stdio-fds=15 --stdio-fds=16 --stdio-fds=17 248ee14a0925bf014f11cd7cd6e1418e4add2315e9e72fbfee6a03c976e12122]
I0926 19:03:44.384451       1 config.go:558] Platform: systrap
I0926 19:03:44.384457       1 config.go:559] RootDir: /var/run/docker/runtime-runc/moby
I0926 19:03:44.384459       1 config.go:560] FileAccess: exclusive / Directfs: true / Overlay: root:self
I0926 19:03:44.384462       1 config.go:561] Network: sandbox
I0926 19:03:44.384464       1 config.go:562] UseCPUNums: false
I0926 19:03:44.384466       1 config.go:564] Debug: true. Strace: false, max size: 1024, syscalls: 
W0926 19:03:44.384467       1 config.go:567] --allow-suid is disabled, SUID/SGID bits on executables will be ignored.
D0926 19:03:44.384470       1 config.go:585] Config.RootDir (--root): /var/run/docker/runtime-runc/moby
D0926 19:03:44.384472       1 config.go:585] Config.Traceback (--traceback): system
D0926 19:03:44.384475       1 config.go:585] Config.Debug (--debug): true
D0926 19:03:44.384476       1 config.go:585] Config.LogFilename (--log): /run/containerd/io.containerd.runtime.v2.task/moby/248ee14a0925bf014f11cd7cd6e1418e4add2315e9e72fbfee6a03c976e12122/log.json
D0926 19:03:44.384480       1 config.go:585] Config.LogFormat (--log-format): json
D0926 19:03:44.384482       1 config.go:585] Config.DebugLog (--debug-log): /var/log/runsc-70/
D0926 19:03:44.384484       1 config.go:585] Config.DebugToUserLog (--debug-to-user-log): false
D0926 19:03:44.384486       1 config.go:585] Config.DebugCommand (--debug-command): (empty)
D0926 19:03:44.384488       1 config.go:585] Config.PanicLog (--panic-log): (empty)
D0926 19:03:44.384489       1 config.go:585] Config.CoverageReport (--coverage-report): (empty)
D0926 19:03:44.384491       1 config.go:585] Config.DebugLogFormat (--debug-log-format): text
D0926 19:03:44.384492       1 config.go:585] Config.FileAccess (--file-access): exclusive
D0926 19:03:44.384494       1 config.go:585] Config.FileAccessMounts (--file-access-mounts): shared
D0926 19:03:44.384496       1 config.go:585] Config.Overlay (--overlay): false
D0926 19:03:44.384497       1 config.go:585] Config.Overlay2 (--overlay2): root:self
D0926 19:03:44.384501       1 config.go:585] Config.FSGoferHostUDS (--fsgofer-host-uds): false
D0926 19:03:44.384506       1 config.go:585] Config.HostUDS (--host-uds): none
D0926 19:03:44.384511       1 config.go:585] Config.HostFifo (--host-fifo): none
D0926 19:03:44.384514       1 config.go:585] Config.CharacterDevicePolicy (--character-device-policy): emulated-only
D0926 19:03:44.384516       1 config.go:585] Config.HostSettings (--host-settings): check
D0926 19:03:44.384518       1 config.go:585] Config.Network (--network): sandbox
D0926 19:03:44.384520       1 config.go:585] Config.GoferNetworkNamespace (--gofer-network-namespace): null
D0926 19:03:44.384522       1 config.go:585] Config.EnableRaw (--net-raw): false
D0926 19:03:44.384523       1 config.go:585] Config.AllowPacketEndpointWrite (--allow-packet-socket-write): false
D0926 19:03:44.384527       1 config.go:585] Config.AllowLiveTCPMigration (--allow-live-tcp-migration): true
D0926 19:03:44.384529       1 config.go:585] Config.SignalUnkillablePolicy (--signal-unkillable-policy): none
D0926 19:03:44.384534       1 config.go:585] Config.HostGSO (--gso): true
D0926 19:03:44.384536       1 config.go:585] Config.GVisorGSO (--software-gso): true
D0926 19:03:44.384538       1 config.go:585] Config.GVisorGRO (--gvisor-gro): false
D0926 19:03:44.384539       1 config.go:585] Config.TXChecksumOffload (--tx-checksum-offload): false
D0926 19:03:44.384541       1 config.go:585] Config.RXChecksumOffload (--rx-checksum-offload): true
D0926 19:03:44.384542       1 config.go:585] Config.QDisc (--qdisc): fifo
D0926 19:03:44.384544       1 config.go:585] Config.TBFRate (--qdisc-tbf-rate): 0
D0926 19:03:44.384546       1 config.go:585] Config.TBFBurst (--qdisc-tbf-burst): 0
D0926 19:03:44.384547       1 config.go:585] Config.LogPackets (--log-packets): false
D0926 19:03:44.384549       1 config.go:585] Config.PCAP (--pcap-log): (empty)
D0926 19:03:44.384551       1 config.go:585] Config.Platform (--platform): systrap
D0926 19:03:44.384554       1 config.go:585] Config.PlatformDevicePath (--platform_device_path): (empty)
D0926 19:03:44.384556       1 config.go:585] Config.MetricServer (--metric-server): (empty)
D0926 19:03:44.384560       1 config.go:585] Config.SidecarReleaseEnforcementPolicy (--sidecar-release-enforcement-policy): IF_RELEASE_BUILD
D0926 19:03:44.384562       1 config.go:585] Config.SidecarUsagePolicy (--sidecar-usage-policy): DEFAULT
D0926 19:03:44.384564       1 config.go:585] Config.FinalMetricsLog (--final-metrics-log): (empty)
D0926 19:03:44.384565       1 config.go:585] Config.ProfilingMetrics (--profiling-metrics): (empty)
D0926 19:03:44.384567       1 config.go:585] Config.ProfilingMetricsLog (--profiling-metrics-log): (empty)
D0926 19:03:44.384568       1 config.go:585] Config.ProfilingMetricsRate (--profiling-metrics-rate-us): 1000
D0926 19:03:44.384572       1 config.go:585] Config.Strace (--strace): false
D0926 19:03:44.384574       1 config.go:585] Config.StraceSyscalls (--strace-syscalls): (empty)
D0926 19:03:44.384575       1 config.go:585] Config.StraceLogSize (--strace-log-size): 1024
D0926 19:03:44.384579       1 config.go:585] Config.StraceEvent (--strace-event): false
D0926 19:03:44.384581       1 config.go:587] Config.DisableSeccomp: false
D0926 19:03:44.384583       1 config.go:585] Config.EnableCoreTags (--enable-core-tags): false
D0926 19:03:44.384585       1 config.go:585] Config.WatchdogAction (--watchdog-action): log
D0926 19:03:44.384586       1 config.go:585] Config.PanicSignal (--panic-signal): -1
D0926 19:03:44.384588       1 config.go:585] Config.ProfileEnable (--profile): false
D0926 19:03:44.384589       1 config.go:585] Config.ProfileBlock (--profile-block): (empty)
D0926 19:03:44.384590       1 config.go:585] Config.ProfileCPU (--profile-cpu): (empty)
D0926 19:03:44.384592       1 config.go:585] Config.ProfileGCInterval (--profile-gc-interval): 0s
D0926 19:03:44.384594       1 config.go:585] Config.ProfileHeap (--profile-heap): (empty)
D0926 19:03:44.384596       1 config.go:585] Config.ProfileMutex (--profile-mutex): (empty)
D0926 19:03:44.384597       1 config.go:585] Config.TraceFile (--trace): (empty)
D0926 19:03:44.384599       1 config.go:585] Config.NumNetworkChannels (--num-network-channels): 1
D0926 19:03:44.384601       1 config.go:585] Config.NetworkProcessorsPerChannel (--network-processors-per-channel): 0
D0926 19:03:44.384602       1 config.go:585] Config.Rootless (--rootless): false
D0926 19:03:44.384604       1 config.go:585] Config.AlsoLogToStderr (--alsologtostderr): false
D0926 19:03:44.384605       1 config.go:585] Config.ReferenceLeak (--ref-leak-mode): disabled
D0926 19:03:44.384607       1 config.go:585] Config.CPUNumFromQuota (--cpu-num-from-quota): true
D0926 19:03:44.384608       1 config.go:585] Config.AllowFlagOverride (--allow-flag-override): false
D0926 19:03:44.384610       1 config.go:585] Config.OCISeccomp (--oci-seccomp): false
D0926 19:03:44.384613       1 config.go:585] Config.IgnoreCgroups (--ignore-cgroups): false
D0926 19:03:44.384615       1 config.go:585] Config.InSandboxCgroup (--in-sandbox-cgroup): v1
